Classification Name,Classification Code,Country Name,Country Code,Time,Time Code,Population [Pop],Millions of people who cannot afford a healthy diet [CoHD_unafford_n],Millions of people who cannot afford nutrient adequacy [CoNA_unafford_n],Millions of people who cannot afford sufficient calories [CoCA_unafford_n],Percent of the population who cannot afford a healthy diet [CoHD_headcount],Percent of the population who cannot afford nutrient adequacy [CoNA_headcount],Percent of the population who cannot afford sufficient calories [CoCA_headcount],Affordability of a healthy diet: ratio of cost to food expenditures [CoHD_fexp],Affordability of a nutrient adequate diet: ratio of cost to food expenditures [CoNA_fexp],Affordability of an energy sufficient diet: ratio of cost to food expenditures [CoCA_fexp],Affordability of a healthy diet: ratio of cost to the food poverty line [CoHD_pov],Affordability of a nutrient adequate diet: ratio of cost to the food poverty line [CoNA_pov],Affordability of an energy sufficient diet: ratio of cost to the food poverty line [CoCA_pov],Cost of oils and fats relative to the starchy staples in a least-cost healthy diet [CoHD_of_ss],"Cost of legumes, nuts and seeds relative to the starchy staples in a least-cost healthy diet [CoHD_lns_ss]",Cost of animal-sourced foods relative to the starchy staples in a least-cost healthy diet [CoHD_asf_ss],Cost of vegetables relative to the starchy staples in a least-cost healthy diet [CoHD_v_ss],Cost share for oils and fats in a least-cost healthy diet [CoHD_of_prop],Cost of fruits relative to the starchy staples in a least-cost healthy diet [CoHD_f_ss],"Cost share for legumes, nuts and seeds in a least-cost healthy diet [CoHD_lns_prop]",Cost share for animal-sourced foods in a least-cost healthy diet [CoHD_asf_prop],Cost share for starchy staples in a least-cost healthy diet [CoHD_ss_prop],Cost share for vegetables in a least-cost healthy diet [CoHD_v_prop],Cost share for fruits in a least-cost healthy diet [CoHD_f_prop],Cost of oils and fats [CoHD_of],"Cost of legumes, nuts and seeds [CoHD_lns]",Cost of animal-source foods [CoHD_asf],Cost of starchy staples [CoHD_ss],Cost of vegetables [CoHD_v],Cost of fruits [CoHD_f],Cost of a healthy diet relative to the cost of sufficient energy from starchy staples [CoHD_CoCA],Cost of a healthy diet [CoHD],Cost of a nutrient adequate diet [CoNA],Cost of an energy sufficient diet [CoCA]
Food Prices for Nutrition 1.1,FPN 1.1,South Asia,SAS,2017,YR2017,1783225288,1396.5,1047.9,45.6,78.3,58.8,2.6,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.172,0.318,1.076,0.422,0.729,0.842,..,3.558,2.328,0.804
Food Prices for Nutrition 1.1,FPN 1.1,Spain,ESP,2017,YR2017,46593236,0.8,0.5,0.2,1.7,1,0.5,0.371,0.241,0.06,2.41,1.564,0.391,0.19,0.76,2.24,2.66,0.02,2.86,0.078,0.231,0.103,0.274,0.295,0.053,0.211,0.623,0.278,0.739,0.796,6.16,2.699,1.752,0.438
Food Prices for Nutrition 1.1,FPN 1.1,Sri Lanka,LKA,2017,YR2017,21444000,11.5,4.4,0.1,53.8,20.5,0.5,0.671,0.404,0.176,3.305,1.989,0.868,0.65,0.39,2.03,1.62,0.087,1.82,0.052,0.27,0.133,0.216,0.243,0.321,0.192,0.999,0.493,0.799,0.899,3.81,3.702,2.228,0.972
Food Prices for Nutrition 1.1,FPN 1.1,St. Kitts and Nevis,KNA,2017,YR2017,47785,..,..,..,..,..,..,0.462,0.461,0.082,2.677,2.673,0.476,0.32,0.78,1.68,1.74,0.045,1.52,0.111,0.239,0.142,0.247,0.216,0.136,0.333,0.716,0.425,0.74,0.648,5.62,2.998,2.994,0.533
Food Prices for Nutrition 1.1,FPN 1.1,St. Lucia,LCA,2017,YR2017,177163,0,0,0,20.9,16.7,4.6,1.836,1.492,0.591,2.913,2.367,0.938,0.4,0.66,1.67,1.74,0.063,0.94,0.102,0.26,0.156,0.272,0.147,0.205,0.334,0.848,0.509,0.888,0.479,3.11,3.263,2.651,1.05
Food Prices for Nutrition 1.1,FPN 1.1,St. Vincent and the Grenadines,VCT,2017,YR2017,105549,..,..,..,..,..,..,0.785,0.581,0.251,3.688,2.727,1.18,0.28,0.74,0.95,1.54,0.055,0.52,0.146,0.189,0.199,0.307,0.103,0.229,0.605,0.78,0.822,1.269,0.427,3.12,4.131,3.054,1.322
Food Prices for Nutrition 1.1,FPN 1.1,Sub-Saharan Africa,SSF,2017,YR2017,1034965620,865.4,700.8,256.2,84.4,68.4,25,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.146,0.256,0.934,0.528,0.843,0.542,..,3.249,2.228,0.871
Food Prices for Nutrition 1.1,FPN 1.1,Sudan,SDN,2017,YR2017,40679828,35.7,23.3,5.8,87.7,57.2,14.4,0.824,0.468,0.242,3.28,1.865,0.963,0.39,0.93,2.2,1.32,0.057,0.88,0.139,0.327,0.149,0.197,0.131,0.211,0.509,1.203,0.547,0.723,0.48,3.41,3.674,2.089,1.079
Food Prices for Nutrition 1.1,FPN 1.1,Suriname,SUR,2017,YR2017,587559,0.3,0.2,0.1,43.7,34.2,15.5,0.604,0.412,0.139,4.437,3.023,1.02,0.23,1.33,2.41,2.15,0.027,1.37,0.157,0.284,0.118,0.253,0.161,0.136,0.78,1.412,0.585,1.256,0.8,4.35,4.969,3.386,1.142
Food Prices for Nutrition 1.1,FPN 1.1,Sweden,SWE,2017,YR2017,10057698,0.1,0,0,0.6,0.4,0.2,0.417,0.329,0.108,2.755,2.173,0.714,0.18,0.74,1.37,1.63,0.028,1.64,0.112,0.209,0.152,0.248,0.25,0.085,0.347,0.644,0.47,0.766,0.773,3.86,3.086,2.434,0.8
